DATE,CO_MIN,CO_MAX,CO_MEAN,PM10_MIN,PM10_MAX,PM10_MEAN,TMIN_IAC,TMAX_IAC,TMIN_VC,TMAX_VC,AVGPRESSURE_VC,HMIN_VC,HMAX_VC,TMEAN_CP,TMIN_CP,TMAX_CP,AVGPRESSURE_CP,HMIN_CP,HMAX_CP,HMEAN_CP,all_under_20_female,all_under_20_male,all_20_to_65_female,all_20_to_65_male,all_over_65_female,all_over_65_male,chd_20_to_65_female,chd_20_to_65_male,chd_over_65_female,chd_over_65_male,mi_20_to_65_female,mi_20_to_65_male,mi_over_65_female,mi_over_65_male,avc_20_to_65_female,avc_20_to_65_male,avc_over_65_female,avc_over_65_male,chd_M,chd_F,mi_M,mi_F,avc_M,avc_F,all_M,all_F,all_under_20,all_20_to_65,all_over_65,chd_20_to_65,chd_over_65,mi_20_to_65,mi_over_65,avc_20_to_65,avc_over_65,all_chd,all_mi,all_avc,all,all_white,all_brown,all_black,all_white_M,all_brown_M,all_black_M,all_white_F,all_brown_F,all_black_F,chd_white,chd_brown,chd_black,chd_white_M,chd_brown_M,chd_black_M,chd_white_F,chd_brown_F,chd_black_F,mi_white,mi_brown,mi_black,mi_white_M,mi_brown_M,mi_black_M,mi_white_F,mi_brown_F,mi_black_F,avc_white,avc_brown,avc_black,avc_white_M,avc_brown_M,avc_black_M,avc_white_F,avc_brown_F,avc_black_F
2001-01-01,0.6,1.2,0.8043478260869565,,,,18.2,28.2,17.8,27.9,938.5020833333332,57.0,91.0,,,,,,,,0,0,2,2,3,4,1,1,2,2,1,1,2,2,1,0,1,0,3,3,3,3,0,2,6,5,0,4,7,2,4,2,4,1,1,6,6,2,11,9,2,0,5,1,0,4,1,0,5,1,0,3,0,0,2,1,0,5,1,0,3,0,0,2,1,0,2,0,0,0,0,0,2,0,0
2001-01-02,0.4,1.9,1.0782608695652172,,,,17.8,30.0,16.6,29.8,938.7520833333332,44.0,93.0,23.146,17.17,27.97,948.8,100.0,100.0,100.0,0,0,0,1,4,1,0,1,1,0,0,1,1,0,0,0,1,0,1,1,1,1,0,1,2,4,0,1,5,1,1,1,1,0,1,2,2,1,6,6,0,0,2,0,0,4,0,0,2,0,0,1,0,0,1,0,0,2,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0
2001-01-03,0.4,2.5,1.2391304347826086,,,,18.0,30.4,17.3,29.6,939.8666666666668,46.0,94.0,22.359645390070924,16.06,30.12,953.5347222222222,48.69,100.0,84.54645833333333,0,0,1,3,1,3,0,1,1,1,0,1,1,1,0,1,0,1,2,1,2,1,2,0,6,2,0,4,4,1,2,1,2,1,1,3,3,2,8,6,1,1,5,1,0,1,0,1,2,1,0,1,1,0,1,0,0,2,1,0,1,1,0,1,0,0,2,0,0,2,0,0,0,0,0
2001-01-04,0.5,2.0,1.166666666666667,23.0,65.0,44.7,18.4,30.4,17.8,30.0,942.2204081632652,51.0,98.0,23.83888888888889,19.33,30.5,957.6319444444445,55.66,100.0,77.79979166666666,0,0,1,2,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,1,0,1,1,2,1,0,3,0,1,0,1,0,2,0,1,1,2,3,3,0,0,2,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,1,0,0,1,0,0
2001-01-05,0.4,2.5,1.334782608695652,4.0,59.0,26.5,17.8,31.4,17.5,31.1,941.5734693877552,47.0,99.0,24.015069444444446,18.71,31.4,957.0138888888889,52.27,100.0,81.71513888888889,0,0,0,3,2,0,0,1,2,0,0,1,1,0,0,2,0,0,1,2,1,1,2,0,3,2,0,3,2,1,2,1,1,2,0,3,2,2,5,4,1,0,2,1,0,2,0,0,2,1,0,0,1,0,2,0,0,1,1,0,0,1,0,1,0,0,2,0,0,2,0,0,0,0,0
2001-01-06,0.6,1.8,1.191304347826087,4.0,55.0,28.125,19.8,31.4,19.1,31.6,939.0520833333334,46.0,100.0,25.054930555555554,20.12,31.31,954.3888888888889,55.43,100.0,79.943125,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,1,2,1,0,0,0,0,0,1,0,0,3,3,0,0,1,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-01-07,0.6,1.5,0.9391304347826088,3.0,39.0,22.166666666666668,20.0,33.0,19.9,32.9,937.6604166666668,37.0,88.0,25.730138888888888,20.23,32.43,952.8333333333334,42.97,100.0,72.30277777777778,0,0,0,2,2,3,0,2,1,1,0,2,0,0,0,0,0,1,3,1,2,0,1,0,5,2,0,2,5,2,2,2,0,0,1,4,2,1,7,5,1,1,3,1,1,2,0,0,2,1,1,1,1,1,1,0,0,1,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0
2001-01-08,0.5,2.5,1.4130434782608696,6.0,63.0,32.333333333333336,19.6,33.6,19.0,33.4,937.7645833333332,38.0,97.0,24.960208333333334,19.72,32.88,953.0069444444445,44.34,100.0,77.39430555555556,0,0,3,1,3,1,2,1,0,0,2,1,0,0,0,0,0,0,1,2,1,2,0,0,2,6,0,4,4,3,0,3,0,0,0,3,3,0,8,7,1,0,2,0,0,5,1,0,2,1,0,1,0,0,1,1,0,2,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2001-01-09,0.5,2.2,1.295652173913043,3.0,91.0,30.375,19.8,32.0,19.1,31.9,938.538775510204,46.0,100.0,24.558402777777776,19.82,30.98,953.8541666666666,48.79,100.0,77.28013888888889,0,0,1,0,1,1,1,0,1,0,1,0,1,0,0,0,0,1,0,2,0,2,1,0,1,2,0,1,2,1,1,1,1,0,1,2,2,1,3,3,0,0,1,0,0,2,0,0,2,0,0,0,0,0,2,0,0,2,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0
2001-01-10,0.5,2.3,1.517391304347826,3.0,38.0,22.043478260869566,19.2,28.0,19.2,27.2,939.669387755102,58.0,100.0,22.973819444444445,19.63,27.98,955.7222222222222,60.97,95.8,82.62104166666667,0,0,2,0,4,0,2,0,0,0,1,0,0,0,0,0,1,0,0,2,0,1,0,1,0,6,0,2,4,2,0,1,0,0,1,2,1,1,6,5,0,1,0,0,0,5,0,1,2,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
